,rent,dist,nrooms,age,size,noccup,price
93,197.0,17.0,2.0,27.0,4.0,3,93750.0
94,138.0,17.0,2.0,39.0,5.0,3,89600.0
95,150.0,17.0,2.0,36.0,3.0,2,65000.0
96,212.0,17.0,2.0,31.0,3.0,2,91900.0
97,150.0,17.0,2.0,29.0,4.0,3,62500.0
98,91.0,17.0,2.0,22.0,8.0,2,85000.0
99,195.0,17.0,2.0,37.0,3.0,3,96550.0
100,186.0,17.0,,29.0,3.0,3,128900.0
101,241.0,17.0,2.0,28.0,3.0,2,136700.0
102,234.0,17.0,2.0,39.0,3.0,2,118750.0
103,193.0,17.0,2.0,52.0,3.0,2,175000.0
104,213.0,17.0,2.0,34.0,3.0,2,167850.0
105,369.0,17.0,2.0,52.0,5.0,3,156700.0
106,245.0,17.0,2.0,52.0,3.0,2,134250.0
107,237.0,17.0,2.0,52.0,3.0,'2',129700.0
108,292.0,17.0,2.0,52.0,4.0,3,137850.0
109,292.0,17.0,2.0,28.0,3.0,3,112500.0
110,381.0,17.0,,52.0,4.0,three,131250.0
111,198.0,17.0,2.0,32.0,3.0,2,112985.28872833149
112,226.0,17.0,2.0,26.0,2.0,2,127500.0
113,236.0,17.0,2.0,52.0,3.0,3,112050.0
114,260.0,17.0,2.0,35.0,3.0,2,121550.0
115,235.0,17.0,2.0,52.0,3.0,3,115800.0
116,181.0,17.0,2.0,28.0,3.0,2,116032.65821325858
117,,17.0,2.0,52.0,3.0,2,117050.0
118,439.0,17.0,28.0,50.0,5.0,3,179532.6237693389
119,396.0,17.0,2.0,47.0,4.0,3,173800.0
120,446.0,17.0,,41.0,8.0,3,183050.0
121,372.0,17.0,2.0,37.0,4.0,3,167500.0
122,462.0,17.0,2.0,52.0,5.0,3,220375.7183089974
123,,17.0,33.0,52.0,4.0,3,194750.0
124,462.0,17.0,2.0,52.0,5.0,3,195550.0
125,409.0,17.0,2.0,28.0,4.0,3,165972.10105848388
126,0.0,17.0,2.0,0.0,4.0,3,80862.32412202953
127,451.0,17.0,2.0,44.0,4.0,3,146150.0
128,462.0,17.0,2.0,40.0,5.0,3,205750.0
129,454.0,17.0,2.0,30.0,5.0,3,155750.0
130,462.0,17.0,2.0,34.0,4.0,3,162950.0
131,0.0,17.0,2.0,18.0,5.0,3,54041.12098338044
132,462.0,17.0,2.0,35.0,4.0,3,159650.0
133,462.0,17.0,2.0,34.0,4.0,3,166650.0
134,462.0,17.0,2.0,28.0,4.0,3,167600.0
135,462.0,17.0,2.0,26.0,5.0,3,175600.0
136,462.0,17.0,2.0,29.0,5.0,3,184450.0
137,462.0,17.0,2.0,32.0,4.0,3,197479.0760157023
138,462.0,17.0,2.0,37.0,4.0,,183350.0
139,462.0,17.0,2.0,39.0,5.0,3,181400.0
140,462.0,16.0,2.0,30.0,4.0,3,241650.0
141,462.0,17.0,2.0,52.0,4.0,3,165700.0
142,462.0,17.0,2.0,45.0,5.0,3,161750.0
143,216.0,,2.0,50.0,4.0,3,108350.0
144,231.0,17.0,2.0,38.0,4.0,3,116550.0
145,393.0,17.0,2.0,0.0,4.0,3,121473.27559369369
146,462.0,17.0,2.0,52.0,5.0,3,136850.0
147,244.0,17.0,2.0,52.0,5.0,3,113850.0
148,227.0,17.0,37.0,52.0,4.0,3,99800.0
149,340.0,17.0,2.0,52.0,4.0,3,170175.03934717525
150,305.0,17.0,2.0,52.0,4.0,3,135050.0
151,401.0,17.0,2.0,52.0,4.0,3,165198.71829888062
152,237.0,17.0,2.0,52.0,3.0,2,134750.0
153,357.0,8.0,2.0,52.0,5.0,3,157350.0
154,462.0,17.0,2.0,52.0,,3,195050.0
155,462.0,17.0,2.0,,6.0,3,205150.0
156,462.0,17.0,2.0,52.0,5.0,'3',176200.0
157,452.0,17.0,2.0,52.0,5.0,3,143650.0
158,462.0,17.0,2.0,52.0,5.0,3,174350.0
159,206.0,17.0,2.0,52.0,3.0,3,121900.0
160,164.0,17.0,2.0,46.0,4.0,3,105750.0
161,,17.0,2.0,52.0,5.0,3,109200.0
162,275.0,17.0,2.0,52.0,4.0,3,134950.0
163,241.0,17.0,2.0,46.0,3.0,3,181340.36082563817
164,220.0,,2.0,42.0,3.0,2,112500.0
165,160.0,17.0,2.0,46.0,3.0,3,125000.0
166,120.0,,2.0,41.0,5.0,3,85700.0
167,104.0,17.0,2.0,29.0,3.0,2,96900.0
168,173.0,17.0,2.0,27.0,5.0,3,62500.0
169,133.0,17.0,2.0,45.0,6.0,3,48750.0
170,198.0,17.0,2.0,50.0,7.0,3,62500.0
171,163.0,17.0,2.0,52.0,6.0,3,69400.0
172,167.0,17.0,2.0,36.0,6.0,3,58350.0
173,123.0,17.0,2.0,43.0,5.0,3,75900.0
174,170.0,17.0,2.0,52.0,6.0,3,63500.0
175,161.0,17.0,2.0,52.0,6.0,3,64300.0
176,160.0,17.0,2.0,52.0,6.0,3,70300.0
177,197.0,17.0,2.0,47.0,4.0,3,91350.0
178,178.0,,2.0,52.0,6.0,3,73450.0
179,221.0,17.0,2.0,52.0,6.0,3,61400.0
180,189.0,17.0,2.0,49.0,4.0,3,82071.46597813512
181,145.0,17.0,37.0,52.0,5.0,3,63300.0
182,142.0,17.0,2.0,51.0,4.0,3,63949.99999999999
183,168.0,17.0,2.0,50.0,5.0,3,61750.00000000001
184,179.0,17.0,2.0,52.0,6.0,3,55950.0
185,164.0,17.0,2.0,43.0,7.0,3,55103.370438252125
186,220.0,17.0,2.0,52.0,8.0,4,53950.0
187,141.0,17.0,2.0,30.0,7.0,3,68750.0
188,162.0,17.0,2.0,39.0,7.0,3,52750.0
189,159.0,17.0,2.0,47.0,8.0,4,55743.50959474159
190,253.0,17.0,2.0,52.0,7.0,3,58050.0
191,169.0,17.0,2.0,43.0,7.0,3,56100.00000000001
192,157.0,17.0,2.0,46.0,8.0,4,37500.0
193,120.0,17.0,2.0,39.0,8.0,3,56250.0
194,271.0,8.0,2.0,52.0,7.0,3,62500.0
195,126.0,8.0,2.0,20.0,5.0,,57499.99999999999
196,123.0,17.0,2.0,52.0,7.0,3,47500.0
197,194.0,17.0,2.0,52.0,6.0,3,48200.0
198,,,2.0,52.0,6.0,3,36000.0
199,198.0,17.0,2.0,52.0,6.0,3,35650.0
200,226.0,17.0,2.0,,8.0,four,40400.0
201,111.0,17.0,2.0,50.0,6.0,3,64400.0
202,145.0,8.0,2.0,43.0,6.0,3,56250.0
203,111.0,17.0,2.0,46.0,8.0,3,59700.0
204,120.0,17.0,2.0,44.0,8.0,3,59050.0
205,152.0,17.0,2.0,,8.0,4,61250.00000000001
206,171.0,17.0,2.0,49.0,7.0,3,53150.0
207,161.0,17.0,2.0,37.0,6.0,3,66250.0
208,121.0,17.0,,30.0,6.0,3,61350.00000000001
209,99.0,17.0,2.0,40.0,6.0,3,56650.0
210,,17.0,2.0,44.0,7.0,3,5085367.0
211,292.0,17.0,2.0,0.0,6.0,3,81585.74171574478
212,231.0,17.0,2.0,52.0,6.0,3,62500.0
213,195.0,17.0,38.0,,6.0,3,62350.00000000001
214,187.0,17.0,2.0,49.0,5.0,3,68350.0
215,209.0,17.0,2.0,,6.0,3,70850.0
216,212.0,17.0,2.0,29.0,5.0,3,75000.0
217,221.0,17.0,2.0,47.0,5.0,3,69400.0
218,212.0,17.0,2.0,34.0,5.0,3,5466587.0
219,215.0,17.0,2.0,35.0,6.0,3,71900.0
220,230.0,17.0,2.0,39.0,4.0,3,78250.0
221,,,2.0,39.0,5.0,3,75500.0
222,371.0,17.0,2.0,43.0,5.0,3,136500.0
223,357.0,17.0,2.0,52.0,5.0,3,160939.78725477052
224,261.0,17.0,,52.0,5.0,3,93550.0
225,383.0,8.0,2.0,41.0,4.0,3,119800.0
226,,17.0,26.0,48.0,4.0,3,114850.0
227,355.0,17.0,2.0,48.0,5.0,3,128650.0
228,320.0,17.0,2.0,46.0,4.0,3,123450.0
229,223.0,16.0,2.0,50.0,5.0,3,89950.0
230,313.0,17.0,2.0,40.0,5.0,3,84800.0
231,,17.0,31.0,46.0,5.0,3,101650.0
232,300.0,17.0,2.0,52.0,,3,131700.0
233,349.0,16.0,2.0,45.0,4.0,3,115900.0
234,219.0,16.0,2.0,28.0,5.0,3,70250.0
235,172.0,17.0,2.0,35.0,8.0,3,63000.0
236,200.0,17.0,2.0,49.0,7.0,3,70793.32425466194
237,196.0,17.0,,44.0,5.0,3,67350.0
238,181.0,17.0,2.0,45.0,6.0,3,69700.0
239,208.0,17.0,2.0,45.0,5.0,3,57699.99999999999
240,205.0,17.0,2.0,46.0,4.0,3,68650.0
241,138.0,17.0,2.0,52.0,8.0,3,68500.0
242,199.0,17.0,2.0,52.0,6.0,3,90836.50994467466
243,229.0,17.0,2.0,49.0,6.0,3,68750.0
244,179.0,17.0,2.0,44.0,7.0,3,60034.21779022135
245,128.0,17.0,2.0,43.0,6.0,3,63400.0
246,196.0,17.0,2.0,47.0,6.0,3,55650.0
247,210.0,17.0,28.0,40.0,8.0,4,57399.99999999999
248,129.0,17.0,2.0,50.0,8.0,4,51149.99999999999
249,156.0,17.0,2.0,44.0,6.0,3,65950.0
250,186.0,17.0,2.0,51.0,7.0,3,59550.0
251,,16.0,2.0,52.0,7.0,3,40300.0
252,306.0,16.0,2.0,52.0,5.0,3,40300.0
253,200.0,16.0,2.0,52.0,6.0,3,44400.0
254,182.0,16.0,2.0,49.0,6.0,3,51200.0
255,174.0,16.0,2.0,46.0,6.0,3,49350.0
256,169.0,16.0,2.0,43.0,6.0,3,50000.0
257,135.0,16.0,2.0,42.0,6.0,3,46150.0
258,169.0,16.0,2.0,39.0,7.0,3,47400.0
259,154.0,16.0,2.0,41.0,6.0,3,51000.0
260,,16.0,2.0,52.0,5.0,3,79200.0
261,,16.0,2.0,39.0,5.0,3,60800.0
262,190.0,16.0,2.0,50.0,6.0,3,64549.99999999999
263,217.0,16.0,2.0,43.0,6.0,3,60700.0
264,173.0,17.0,2.0,46.0,8.0,3,51400.0
265,215.0,16.0,2.0,52.0,5.0,3,80000.0
266,252.0,16.0,2.0,52.0,5.0,3,71950.0
267,263.0,16.0,2.0,52.0,5.0,3,75600.0
268,323.0,16.0,2.0,52.0,6.0,3,82200.0
269,241.0,16.0,2.0,52.0,5.0,3,78250.0
270,290.0,16.0,2.0,33.0,8.0,6,112500.0
271,,16.0,2.0,49.0,4.0,3,87100.0
272,279.0,16.0,2.0,52.0,5.0,3,83450.0
273,344.0,16.0,2.0,45.0,8.0,3,81750.0
274,394.0,,2.0,39.0,4.0,3,126500.0
275,462.0,16.0,2.0,41.0,5.0,3,120350.0
276,297.0,16.0,2.0,46.0,5.0,3,104050.0
277,221.0,16.0,2.0,47.0,4.0,3,99050.0
278,200.0,16.0,2.0,50.0,5.0,3,86400.0
279,408.0,16.0,2.0,37.0,4.0,3,168350.0
280,462.0,16.0,2.0,34.0,4.0,3,159100.0
281,,16.0,2.0,23.0,5.0,3,142900.0
282,462.0,16.0,2.0,,,3,146500.0
283,448.0,16.0,30.0,22.0,5.0,3,185500.0
284,276.0,16.0,2.0,42.0,4.0,3,78650.0
285,215.0,16.0,2.0,,8.0,3,67650.0
286,256.0,16.0,2.0,43.0,8.0,3,68350.0
287,247.0,16.0,2.0,50.0,5.0,3,80350.0
288,290.0,16.0,2.0,49.0,5.0,3,70300.0
289,313.0,16.0,2.0,52.0,4.0,3,72000.0
290,328.0,16.0,2.0,47.0,5.0,3,80950.0
291,357.0,8.0,2.0,48.0,5.0,3,151950.3516190645
292,268.0,16.0,2.0,45.0,5.0,3,88000.0
293,232.0,16.0,2.0,39.0,5.0,3,72900.0
294,254.0,16.0,2.0,39.0,5.0,3,70950.0
295,140.0,16.0,2.0,46.0,6.0,3,45350.0
296,145.0,16.0,2.0,41.0,6.0,3,45300.0
297,,16.0,2.0,47.0,5.0,3,53950.0
298,171.0,16.0,2.0,37.0,5.0,3,53500.0
299,,,2.0,38.0,5.0,3,49100.0
300,146.0,16.0,2.0,50.0,7.0,3,44750.0
301,292.0,16.0,2.0,52.0,5.0,3,100698.28643266352
302,138.0,,2.0,49.0,5.0,3,48350.0
303,155.0,16.0,2.0,27.0,5.0,3,48750.0
304,210.0,16.0,2.0,42.0,6.0,3,68518.69759212004
305,141.0,16.0,2.0,43.0,6.0,3,45600.0
306,,16.0,2.0,49.0,5.0,3,45700.0
307,170.0,16.0,2.0,52.0,5.0,3,48100.0
308,244.0,16.0,2.0,51.0,5.0,3,60050.0
309,154.0,16.0,2.0,52.0,5.0,3,50000.0
310,184.0,16.0,2.0,52.0,5.0,3,47350.0
311,131.0,16.0,2.0,47.0,6.0,3,42850.0
312,153.0,16.0,2.0,41.0,6.0,3,44650.0
313,203.0,16.0,39.0,45.0,6.0,3,50700.0
314,90.0,16.0,30.0,41.0,6.0,3,36250.0
315,144.0,16.0,2.0,45.0,5.0,3,37050.0
316,118.0,16.0,2.0,36.0,8.0,3,35000.0
317,105.0,16.0,2.0,37.0,5.0,3,42300.0
318,57.0,16.0,2.0,38.0,6.0,3,40900.0
319,98.0,16.0,2.0,19.0,5.0,3,40700.0
320,60.0,16.0,2.0,28.0,5.0,3,40900.0
321,146.0,16.0,2.0,26.0,6.0,3,42900.0
322,88.0,16.0,2.0,36.0,7.0,3,43550.0
323,175.0,16.0,2.0,42.0,6.0,3,57816.11055043239
324,161.0,16.0,2.0,44.0,6.0,3,39850.0
325,188.0,16.0,2.0,43.0,5.0,3,41700.0
326,,16.0,25.0,45.0,5.0,3,42350.0
327,217.0,16.0,2.0,42.0,6.0,3,40000.0
328,188.0,16.0,2.0,43.0,6.0,3,38200.0
329,158.0,16.0,,44.0,,3,39850.0
330,184.0,16.0,2.0,42.0,7.0,3,41200.0
331,180.0,,2.0,41.0,7.0,3,48850.0
332,161.0,16.0,2.0,47.0,4.0,3,48600.0
333,185.0,16.0,2.0,43.0,5.0,3,50800.0
334,161.0,16.0,,43.0,7.0,3,43250.0
335,138.0,16.0,2.0,35.0,6.0,3,45250.0
336,227.0,16.0,2.0,46.0,6.0,3,53800.0
337,168.0,,2.0,46.0,7.0,3,42100.0
338,,16.0,2.0,46.0,7.0,3,44450.0
339,303.0,16.0,2.0,45.0,7.0,3,40350.0
340,0.0,16.0,2.0,46.0,6.0,3,54933.35751327366
341,121.0,16.0,2.0,38.0,5.0,3,42550.0
342,162.0,16.0,2.0,45.0,7.0,3,41000.0
343,143.0,16.0,2.0,36.0,6.0,3,41400.0
344,155.0,16.0,2.0,43.0,6.0,3,42300.0
345,128.0,16.0,2.0,36.0,7.0,3,41050.0
346,192.0,16.0,2.0,33.0,7.0,3,44650.0
347,148.0,16.0,2.0,43.0,6.0,3,52318.892712348024
348,,16.0,2.0,41.0,7.0,3,46150.0
349,174.0,16.0,29.0,44.0,6.0,3,44400.0
350,107.0,16.0,2.0,48.0,5.0,3,45000.0
351,188.0,16.0,2.0,45.0,6.0,3,60410.10626390967
352,117.0,16.0,2.0,38.0,6.0,3,45850.0
353,236.0,16.0,2.0,47.0,6.0,3,50200.0
354,138.0,16.0,31.0,40.0,5.0,3,47400.0
355,350.0,16.0,2.0,46.0,5.0,3,82150.0
356,184.0,16.0,2.0,36.0,5.0,3,77750.0
357,455.0,16.0,2.0,39.0,5.0,3,98450.0
358,362.0,16.0,2.0,27.0,7.0,3,139550.0
359,417.0,16.0,32.0,34.0,5.0,3,126400.0
360,402.0,16.0,2.0,26.0,4.0,3,137700.0
361,462.0,8.0,25.0,33.0,7.0,3,125000.0
362,462.0,16.0,2.0,28.0,6.0,3,164900.0
363,302.0,16.0,2.0,36.0,5.0,3,97750.0
364,462.0,16.0,2.0,33.0,5.0,,127950.0
365,373.0,16.0,2.0,30.0,5.0,3,155550.0
366,402.0,16.0,2.0,36.0,5.0,3,141685.1012949235
367,375.0,16.0,2.0,41.0,4.0,3,124450.0
368,219.0,16.0,2.0,46.0,5.0,3,71450.0
369,291.0,16.0,2.0,40.0,6.0,3,63149.99999999999
370,241.0,16.0,2.0,44.0,5.0,3,67900.0
371,235.0,16.0,2.0,,6.0,3,65300.0
372,190.0,,2.0,24.0,5.0,3,53950.0
373,191.0,16.0,2.0,44.0,5.0,3,55550.0
374,263.0,16.0,2.0,43.0,6.0,3,61000.0
375,248.0,16.0,2.0,49.0,5.0,3,59000.0
376,136.0,16.0,2.0,40.0,7.0,3,47600.0
377,285.0,16.0,2.0,35.0,6.0,3,47150.0
378,171.0,16.0,2.0,34.0,5.0,3,46250.0
379,187.0,16.0,2.0,37.0,6.0,3,59445.888258540894
380,303.0,16.0,2.0,,5.0,3,54700.00000000001
381,261.0,16.0,2.0,46.0,5.0,3,64750.0
382,310.0,16.0,23.0,52.0,5.0,3,71700.0
383,196.0,16.0,2.0,47.0,6.0,3,49100.0
384,151.0,16.0,2.0,44.0,5.0,3,51549.99999999999
385,249.0,17.0,2.0,49.0,4.0,3,138400.0
386,400.0,17.0,2.0,52.0,4.0,3,135450.0
387,260.0,17.0,2.0,52.0,4.0,3,123100.0
388,263.0,17.0,2.0,38.0,4.0,3,112100.0
389,235.0,17.0,2.0,52.0,4.0,3,114550.0
390,210.0,17.0,2.0,46.0,4.0,3,105800.0
391,343.0,17.0,2.0,15.0,4.0,3,128050.0
392,226.0,17.0,2.0,36.0,3.0,3,103150.0
393,306.0,17.0,2.0,52.0,4.0,3,110650.0
394,339.0,,2.0,42.0,4.0,3,103700.0
395,130.0,17.0,2.0,37.0,5.0,3,175000.0
396,238.0,17.0,2.0,52.0,4.0,3,109100.0
397,290.0,17.0,2.0,50.0,4.0,3,108350.0
398,387.0,17.0,2.0,52.0,4.0,3,135300.0
399,387.0,17.0,2.0,52.0,5.0,3,130700.0
400,319.0,17.0,2.0,52.0,4.0,3,130650.0
401,379.0,17.0,2.0,52.0,4.0,3,116100.0
402,421.0,17.0,2.0,42.0,5.0,3,187700.0
403,462.0,,2.0,52.0,4.0,3,178650.0
404,462.0,17.0,2.0,52.0,5.0,3,187200.0
405,462.0,17.0,2.0,52.0,4.0,3,179400.0
406,462.0,17.0,,46.0,5.0,3,208750.0
407,462.0,17.0,2.0,52.0,5.0,3,215250.0
408,462.0,17.0,2.0,52.0,5.0,3,181450.0
409,462.0,17.0,2.0,52.0,5.0,3,198500.0
410,368.0,17.0,2.0,52.0,4.0,3,173400.0
411,434.0,17.0,2.0,52.0,5.0,3,163550.0
412,344.0,17.0,2.0,52.0,4.0,3,145050.0
413,406.0,17.0,2.0,52.0,4.0,3,146000.0
414,309.0,17.0,2.0,52.0,4.0,3,135450.0
415,462.0,17.0,2.0,52.0,5.0,3,185550.0
416,404.0,,2.0,52.0,5.0,3,167800.0
417,462.0,17.0,2.0,37.0,5.0,3,215701.70197144506
418,,17.0,2.0,41.0,4.0,3,5826580.0
419,462.0,17.0,2.0,52.0,4.0,3,171100.0
420,462.0,17.0,2.0,46.0,4.0,3,197334.98241224934
421,462.0,,2.0,37.0,4.0,3,175000.0
422,462.0,17.0,2.0,42.0,4.0,3,184300.0
423,462.0,17.0,2.0,52.0,4.0,3,195900.0
424,434.0,17.0,2.0,,4.0,3,207650.0
425,321.0,17.0,2.0,52.0,4.0,3,142450.0
426,265.0,17.0,2.0,52.0,3.0,3,143750.0
427,225.0,17.0,2.0,44.0,3.0,3,136450.0
428,310.0,17.0,2.0,52.0,4.0,3,148886.28433339568
429,314.0,17.0,2.0,52.0,4.0,3,127250.0
430,293.0,17.0,2.0,52.0,4.0,3,117800.0
431,291.0,17.0,2.0,52.0,4.0,3,109200.0
432,232.0,17.0,2.0,48.0,4.0,3,118939.63023895027
433,224.0,17.0,2.0,46.0,4.0,3,96050.0
434,266.0,17.0,2.0,52.0,4.0,3,89650.0
435,110.0,17.0,2.0,45.0,8.0,4,93750.0
436,127.0,17.0,2.0,52.0,4.0,3,69400.0
437,162.0,17.0,30.0,10.0,4.0,3,75000.0
438,206.0,17.0,2.0,50.0,4.0,3,70300.0
439,0.0,17.0,2.0,52.0,4.0,3,98601.73572526955
440,217.0,17.0,2.0,46.0,4.0,3,72400.0
441,166.0,17.0,2.0,52.0,5.0,3,72400.0
442,242.0,17.0,2.0,52.0,4.0,3,122750.0
443,263.0,17.0,,52.0,4.0,3,100000.0
444,148.0,,2.0,49.0,3.0,3,86850.0
445,200.0,17.0,2.0,50.0,4.0,3,92800.0
446,,17.0,2.0,52.0,3.0,3,91300.0
447,225.0,,2.0,52.0,4.0,3,113950.0
448,190.0,17.0,2.0,46.0,3.0,3,110350.0
449,215.0,17.0,2.0,46.0,3.0,3,106000.0
450,164.0,17.0,2.0,52.0,3.0,2,135700.0
451,133.0,17.0,2.0,30.0,4.0,3,134400.0
452,189.0,17.0,,37.0,3.0,3,138900.0
453,320.0,17.0,2.0,52.0,3.0,3,204407.35672958815
454,220.0,8.0,2.0,52.0,5.0,3,169450.0
455,,17.0,2.0,52.0,4.0,3,143750.0
456,,17.0,2.0,41.0,4.0,3,192300.0
457,191.0,8.0,2.0,42.0,8.0,4,185700.0
458,71.0,17.0,,52.0,8.0,4,175000.0
459,87.0,17.0,2.0,52.0,,4,250000.5
460,105.0,17.0,2.0,52.0,8.0,5,87500.0
461,88.0,17.0,2.0,52.0,3.0,3,120850.0
462,130.0,17.0,2.0,35.0,3.0,2,108350.0
463,216.0,17.0,2.0,49.0,4.0,3,105650.0
464,205.0,17.0,2.0,52.0,4.0,3,105100.0
465,,17.0,2.0,52.0,4.0,3,98200.0
466,267.0,17.0,2.0,52.0,4.0,3,95850.0
467,170.0,17.0,2.0,52.0,4.0,3,91150.0
468,190.0,17.0,2.0,44.0,3.0,3,87500.0
469,189.0,17.0,0.0,46.0,5.0,3,60703.562531123796
470,149.0,17.0,2.0,52.0,4.0,3,78450.0
471,211.0,8.0,2.0,52.0,4.0,3,82150.0
472,196.0,17.0,37.0,52.0,5.0,3,75000.0
473,146.0,17.0,2.0,50.0,4.0,3,65084.03977586072
474,144.0,17.0,2.0,52.0,4.0,3,84950.0
475,148.0,17.0,2.0,49.0,4.0,'3',73700.0
476,181.0,17.0,2.0,52.0,4.0,3,76350.0
477,190.0,17.0,2.0,49.0,4.0,3,91350.0
478,254.0,17.0,2.0,52.0,4.0,3,89650.0
479,192.0,17.0,2.0,52.0,5.0,3,78850.0
480,171.0,17.0,2.0,41.0,4.0,3,76550.0
481,195.0,17.0,2.0,52.0,3.0,3,125000.0
482,236.0,17.0,2.0,52.0,5.0,3,103150.0
